Donors Returns - 2014-15,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia - Tasmanian Division/LIB-TAS","18/12/2014 12:00:00 AM","12000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (Victorian Branch)/ALP-VIC","10/02/2015 12:00:00 AM","12000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal National Party of Queensland/LNP-QLD","24/12/2014 12:00:00 AM","11600.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","01/06/2015 12:00:00 AM","11200.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","08/07/2014 12:00:00 AM","11000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","03/06/2015 12:00:00 AM","11000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia (S.A Division)/LIB-SA","10/02/2015 12:00:00 AM","5500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Country Labor Party/CLR-NSW","05/05/2015 12:00:00 AM","5000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","30/06/2015 12:00:00 AM","4950.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (Victorian Branch)/ALP-VIC","05/08/2014 12:00:00 AM","3850.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","10/02/2015 12:00:00 AM","3500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal National Party of Queensland/LNP-QLD","21/01/2015 12:00:00 AM","2000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (N.S.W. Branch)/ALP-NSW","03/12/2014 12:00:00 AM","1650.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (N.S.W. branch)","11/06/2015 12:00:00 AM","1650.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","23/07/2014 12:00:00 AM","1600.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (N.S.W. Branch)/ALP-NSW","21/07/2014 12:00:00 AM","1500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","17/02/2015 12:00:00 AM","1500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","19/08/2014 12:00:00 AM","1500.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","17/04/2015 12:00:00 AM","1000.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","25/03/2015 12:00:00 AM","990.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","17/03/2015 12:00:00 AM","640.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","21/04/2015 12:00:00 AM","640.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (ALP)/ALP","06/03/2015 12:00:00 AM","566.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Australian Labor Party (South Australian Branch)/ALP-SA","23/04/2015 12:00:00 AM","400.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","20/04/2015 12:00:00 AM","275.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal National Party of Queensland/LNP-QLD","12/05/2015 12:00:00 AM","258.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","02/08/2014 12:00:00 AM","250.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia (Victorian Division)/LIB-VIC","27/09/2014 12:00:00 AM","250.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal National Party of Queensland/LNP-QLD","06/05/2015 12:00:00 AM","250.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","03/12/2014 12:00:00 AM","250.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","06/03/2015 12:00:00 AM","250.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","19/09/2014 12:00:00 AM","203.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","24/04/2015 12:00:00 AM","195.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","23/09/2014 12:00:00 AM","150.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","22/07/2014 12:00:00 AM","150.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","03/09/2014 12:00:00 AM","110.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia/LIB","01/12/2014 12:00:00 AM","100.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia (Victorian Division)/LIB-VIC","02/06/2015 12:00:00 AM","60.0000",
"Allianz Australia Limited","Level 12, 2 Market Street","SYDNEY","NSW","2000","Liberal Party of Australia, NSW Division/LIB-NSW","09/06/2015 12:00:00 AM","50.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Australian Labor Party (ALP)","26/11/2014 12:00:00 AM","20000.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Liberal Party of Australia","03/12/2014 12:00:00 AM","11000.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Liberal Party of Australia","04/06/2015 12:00:00 AM","11000.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Australian Labor Party (ALP)","09/01/2015 12:00:00 AM","10000.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Australian Labor Party (ALP)","10/12/2014 12:00:00 AM","10000.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Liberal Party of Australia - Tasmanian Division","08/12/2014 12:00:00 AM","9900.0000",
